"As of January 1, 2018, the countries available for colisimo delivery are FR, BE, DE, NL, LU, ES, GB, PT, AT, EE, LV, LT, CZ, HU, SK, SI, DK, FI, IE, PL, SE","Au premier janvier 2018, les pays disponible pour la livraison colisimo sont FR, BE, DE, NL, LU, ES, GB, PT, AT, EE, LV, LT, CZ, HU, SK, SI, DK, FI, IE, PL, SE"
"Authentication Webservice Login","Login du webservice d'authentification"
"Authentication Webservice Password","Mot de passe du webservice d'authentification"
"Authentication Webservice Url","Url du webservice d'authentification"
"Between 0 and 6 days.","Entre 0 et 6 jours"
"Carrier Name","Nom du transporteur"
"Colissimo: Please choose a relay point","Colissimo: Veuillez choisir un point de retrait"
"Colissimo: the configuration value for ""Shipping costs calculation"" has to be a number formatted like ""5.00"".","Colissimo : la valeur de configuration ""Calcul des frais de livraison"" doit être un nombre de la forme ""5.50""."
"Colissimo: the configuration value for ""Shipping costs calculation"" is not available.","Colissimo : la valeur de configuration ""Type des frais de livraison"" n'est pas disponible."
"Colissimo: the configuration value for ""Shipping costs calculation"" is not well-formed.","Colissimo : la valeur de configuration ""Calcul des frais de livraison"" n'est pas dans le bon format."
"Colissimo: the signature is not valid.","Colissimo : la signature n'est pas valide."
"Default Address","Adresse par défaut du champ de recherche"
"Default City","Ville par défaut du champ de recherch"
"Default Country","Code ISO du pays sélectionné par défaut"
"Default Postcode","Code postal par défaut du champ de recherche"
"Enabled","Activé"
"Fixed Price","Tarif unique"
"Incompatible country","Pays incompatible"
"Mandatory field(s) are missing","Champs obligatoire(s) manquant(s)"
"Maximum Order Amount","Montant de commande maximum"
"Minimum Order Amount","Montant de commande minimum"
"Minimum Price for Free Shipping","Montant minimum pour la livraison gratuite"
"Mobile Gateway URL","URL de la plateforme mobile"
"Postcode is not valid","Code postal invalide"
"Relay Point","Point de retrait"
"Resource Base Url","Url de base pour les resources"
"Ship to Applicable Countries","Livraison limitée à certains pays"
"Ship to Specific Countries","Pays disponbiles pour ce mode de livraison"
"Shipping costs format is not valid","Le format des frais d'expédition n'est pas valide"
"Shipping Method Name","Nom du mode de livraison"
"The Colissimo method will not be available if the order weight is over the weight limit.","Colissimo ne sera pas proposé si le poids de la commande dépasse le poids saisi."
"The contents of your cart have changed. Please select your shipping method again.","Le contenu de votre panier a changé. Veuillez sélectionner à nouveau le mode de livraison."
"Unidentified error","Erreur non identifiée"
"Weight Limit","Limite de poids"
"Widget Url","Url du widget"
